"V1" "V2"
"177" "ENSG00000007264.14" 0
"178" "ENSG00000007306.14" 0
"179" "ENSG00000007312.12" 0
"180" "ENSG00000007314.12" 0
"181" "ENSG00000007341.18" 66
"182" "ENSG00000007350.16" 0
"183" "ENSG00000007372.22" 15
"184" "ENSG00000007376.7" 2
"185" "ENSG00000007384.15" 11
"186" "ENSG00000007392.16" 0
"187" "ENSG00000007402.11" 10
"188" "ENSG00000007516.13" 167
"189" "ENSG00000007520.3" 21
"190" "ENSG00000007541.16" 0
"191" "ENSG00000007545.15" 0
"192" "ENSG00000007866.20" 4
"193" "ENSG00000007908.15" 0
"194" "ENSG00000007923.15" 17
"195" "ENSG00000007933.12" 8
"196" "ENSG00000007944.14" 0
"197" "ENSG00000007952.17" 4
"198" "ENSG00000007968.6" 0
"199" "ENSG00000008018.8" 13
"200" "ENSG00000008056.13" 4
"201" "ENSG00000008083.13" 14
"202" "ENSG00000008086.11" 0
"203" "ENSG00000008118.9" 0
"204" "ENSG00000008128.22" 0
"205" "ENSG00000008130.15" 17
"206" "ENSG00000008196.12" 0
"207" "ENSG00000008197.4" 0
"208" "ENSG00000008226.19" 796
"209" "ENSG00000008256.15" 0
"210" "ENSG00000008277.14" 2
"211" "ENSG00000008282.8" 5
"212" "ENSG00000008283.15" 1
"213" "ENSG00000008294.20" 0
"214" "ENSG00000008300.16" 3
"215" "ENSG00000008311.14" 1
"216" "ENSG00000008323.15" 34
"217" "ENSG00000008324.11" 30
"218" "ENSG00000008382.15" 26
"219" "ENSG00000008394.12" 19
"220" "ENSG00000008405.11" 4
"221" "ENSG00000008438.4" 0
"222" "ENSG00000008441.16" 18
"223" "ENSG00000008513.15" 12
"224" "ENSG00000008516.16" 106
"225" "ENSG00000008517.16" 22
"226" "ENSG00000008710.19" 16
"227" "ENSG00000008735.13" 5
"228" "ENSG00000008838.19" 9
"229" "ENSG00000008853.16" 28
"230" "ENSG00000008869.11" 2
"231" "ENSG00000008952.16" 7
"232" "ENSG00000008988.9" 0
"233" "ENSG00000009307.15" 7
"234" "ENSG00000009335.17" 5
"235" "ENSG00000009413.15" 72
"236" "ENSG00000009694.13" 1
"237" "ENSG00000009709.11" 0
"238" "ENSG00000009724.16" 77
"239" "ENSG00000009765.14" 3
"240" "ENSG00000009780.15" 0
"241" "ENSG00000009790.14" 74
"242" "ENSG00000009830.11" 13
"243" "ENSG00000009844.15" 6
"244" "ENSG00000009950.15" 60
"245" "ENSG00000009954.10" 2
"246" "ENSG00000010017.12" 32
"247" "ENSG00000010030.13" 0
"248" "ENSG00000010072.15" 326
"249" "ENSG00000010165.19" 0
"250" "ENSG00000010219.13" 0
"251" "ENSG00000010244.18" 0
"252" "ENSG00000010256.10" 22
"253" "ENSG00000010270.13" 0
"254" "ENSG00000010278.13" 5
"255" "ENSG00000010282.14" 0
"256" "ENSG00000010292.12" 31
"257" "ENSG00000010295.19" 3
"258" "ENSG00000010310.8" 0
"259" "ENSG00000010318.20" 0
"260" "ENSG00000010319.6" 0
"261" "ENSG00000010322.15" 11
"262" "ENSG00000010327.10" 11
"263" "ENSG00000010361.13" 212
"264" "ENSG00000010379.15" 8
"265" "ENSG00000010404.17" 0
"266" "ENSG00000010438.16" 2
"267" "ENSG00000010539.11" 0
"268" "ENSG00000010610.9" 0
"269" "ENSG00000010626.14" 0
"270" "ENSG00000010671.15" 0
"271" "ENSG00000010704.18" 0
"272" "ENSG00000010803.16" 52
"273" "ENSG00000010810.17" 0
"274" "ENSG00000010818.9" 5
"275" "ENSG00000010932.16" 3
"276" "ENSG00000011007.12" 40
"277" "ENSG00000011009.10" 8
"278" "ENSG00000011021.22" 53
"279" "ENSG00000011028.13" 0
"280" "ENSG00000011052.21" 0
"281" "ENSG00000011083.8" 0
"282" "ENSG00000011105.13" 11
"283" "ENSG00000011114.14" 0
"284" "ENSG00000011132.11" 4
"285" "ENSG00000011143.16" 1
"286" "ENSG00000011198.9" 20
"287" "ENSG00000011201.11" 0
"288" "ENSG00000011243.17" 0
"289" "ENSG00000011258.15" 0
"290" "ENSG00000011260.13" 16
"291" "ENSG00000011275.18" 4
"292" "ENSG00000011295.15" 68
"293" "ENSG00000011304.19" 8
"294" "ENSG00000011332.19" 1
"295" "ENSG00000011347.9" 8
"296" "ENSG00000011376.10" 0
"297" "ENSG00000011405.13" 1
"298" "ENSG00000011422.11" 0
"299" "ENSG00000011426.10" 0
"300" "ENSG00000011451.19" 7
"301" "ENSG00000011454.16" 0
"302" "ENSG00000011465.16" 0
"303" "ENSG00000011478.11" 3
"304" "ENSG00000011485.14" 6
"305" "ENSG00000011523.13" 171
"306" "ENSG00000011566.14" 4
"307" "ENSG00000011590.13" 30
"308" "ENSG00000011600.11" 0
"309" "ENSG00000011638.10" 0
"310" "ENSG00000011677.12" 0
"311" "ENSG00000012048.21" 11
"312" "ENSG00000012061.15" 208
"313" "ENSG00000012124.16" 0
"314" "ENSG00000012171.19" 4
"315" "ENSG00000012174.11" 0
"316" "ENSG00000012211.12" 2
"317" "ENSG00000012223.12" 0
"318" "ENSG00000012232.8" 3
"319" "ENSG00000012504.14" 0
"320" "ENSG00000012660.13" 16
"321" "ENSG00000012779.10" 0
"322" "ENSG00000012817.15" 4
"323" "ENSG00000012822.15" 2
"324" "ENSG00000012963.14" 0
"325" "ENSG00000012983.11" 0
"326" "ENSG00000013016.15" 15
"327" "ENSG00000013275.7" 0
"328" "ENSG00000013288.8" 68
"329" "ENSG00000013293.5" 0
"330" "ENSG00000013297.11" 0
"331" "ENSG00000013306.15" 0
"332" "ENSG00000013364.18" 8
"333" "ENSG00000013374.16" 13
"334" "ENSG00000013375.15" 92
"335" "ENSG00000013392.7" 2
"336" "ENSG00000013441.15" 2
"337" "ENSG00000013503.9" 1
"338" "ENSG00000013523.9" 4
"339" "ENSG00000013561.17" 0
"340" "ENSG00000013563.13" 288
"341" "ENSG00000013573.16" 0
"342" "ENSG00000013583.9" 32
"343" "ENSG00000013588.8" 2
"344" "ENSG00000013619.13" 0
"345" "ENSG00000013725.14" 5
"346" "ENSG00000013810.18" 16
"347" "ENSG00000014123.9" 2
"348" "ENSG00000014138.8" 2
"349" "ENSG00000014164.6" 4
"350" "ENSG00000014216.15" 50
"351" "ENSG00000014257.15" 0
"352" "ENSG00000014641.17" 39
"353" "ENSG00000014824.13" 0
"354" "ENSG00000014914.20" 0
"355" "ENSG00000014919.12" 208
"356" "ENSG00000015133.18" 2
"357" "ENSG00000015153.14" 0
"358" "ENSG00000015171.19" 12
"359" "ENSG00000015285.10" 0
"360" "ENSG00000015413.9" 0
"361" "ENSG00000015475.18" 103
"362" "ENSG00000015479.18" 0
"363" "ENSG00000015520.14" 0
"364" "ENSG00000015532.9" 66
"365" "ENSG00000015568.12" 0
"366" "ENSG00000015592.16" 0
"367" "ENSG00000015676.17" 9
"368" "ENSG00000016082.14" 0
"369" "ENSG00000016391.10" 48
"370" "ENSG00000016402.13" 0
"371" "ENSG00000016490.15" 0
"372" "ENSG00000016602.9" 0
"373" "ENSG00000016864.18" 24
"374" "ENSG00000017260.19" 20
"375" "ENSG00000017427.16" 25
"376" "ENSG00000017483.14" 0
"377" "ENSG00000017797.12" 12
"378" "ENSG00000018189.12" 5
"379" "ENSG00000018236.14" 0
"380" "ENSG00000018280.16" 2
"381" "ENSG00000018408.14" 3
"382" "ENSG00000018510.14" 24
"383" "ENSG00000018607.6" 0
"384" "ENSG00000018610.14" 0
"385" "ENSG00000018625.14" 0
"386" "ENSG00000018699.12" 0
"387" "ENSG00000018869.16" 5
"388" "ENSG00000019102.11" 0
"389" "ENSG00000019144.18" 2
"390" "ENSG00000019169.10" 0
"391" "ENSG00000019186.9" 0
"392" "ENSG00000019485.13" 0
"393" "ENSG00000019505.7" 0
"394" "ENSG00000019549.11" 0
"395" "ENSG00000019582.14" 21
"396" "ENSG00000019991.16" 0
"397" "ENSG00000019995.6" 15
"398" "ENSG00000020129.15" 3
"399" "ENSG00000020181.17" 150
"400" "ENSG00000020219.9" 0
"401" "ENSG00000020256.19" 1
"402" "ENSG00000020426.10" 0
"403" "ENSG00000020577.13" 14
"404" "ENSG00000020633.18" 0
"405" "ENSG00000020922.12" 0
"406" "ENSG00000021300.13" 3
"407" "ENSG00000021355.12" 3
"408" "ENSG00000021461.16" 0
"409" "ENSG00000021488.12" 0
"410" "ENSG00000021574.12" 11
"411" "ENSG00000021645.18" 42
"412" "ENSG00000021762.19" 0
"413" "ENSG00000021776.10" 0
"414" "ENSG00000021826.15" 88
"415" "ENSG00000021852.12" 13
"416" "ENSG00000022267.16" 4
"417" "ENSG00000022277.12" 0
"418" "ENSG00000022355.16" 0
"419" "ENSG00000022556.15" 0
"420" "ENSG00000022567.9" 4
"421" "ENSG00000022840.15" 14
"422" "ENSG00000022976.15" 34
"423" "ENSG00000023041.11" 102
"424" "ENSG00000023171.17" 0
"425" "ENSG00000023191.16" 0
"426" "ENSG00000023228.13" 0
"427" "ENSG00000023287.12" 7
"428" "ENSG00000023318.7" 72
"429" "ENSG00000023330.14" 1
"430" "ENSG00000023445.13" 0
"431" "ENSG00000023516.8" 2
"432" "ENSG00000023572.9" 193
"433" "ENSG00000023608.4" 0
"434" "ENSG00000023697.12" 0
"435" "ENSG00000023734.10" 0
"436" "ENSG00000023839.11" 8
"437" "ENSG00000023892.10" 0
"438" "ENSG00000023902.13" 0
"439" "ENSG00000023909.9" 10
"440" "ENSG00000024048.10" 9
"441" "ENSG00000024422.11" 2
"442" "ENSG00000024526.16" 0
"443" "ENSG00000024862.17" 0
"444" "ENSG00000025039.14" 0
"445" "ENSG00000025156.12" 2
"446" "ENSG00000025293.16" 0
"447" "ENSG00000025423.11" 40
"448" "ENSG00000025434.18" 289
"449" "ENSG00000025708.13" 68
"450" "ENSG00000025770.18" 5
"451" "ENSG00000025772.7" 8
"452" "ENSG00000025796.13" 12
"453" "ENSG00000025800.13" 1
"454" "ENSG00000026025.15" 16
"455" "ENSG00000026036.22" 14
"456" "ENSG00000026103.21" 80
"457" "ENSG00000026297.15" 3
"458" "ENSG00000026508.18" 0
"459" "ENSG00000026559.13" 0
"460" "ENSG00000026652.13" 11
"461" "ENSG00000026751.16" 2
"462" "ENSG00000026950.16" 2
"463" "ENSG00000027001.9" 3
"464" "ENSG00000027075.14" 151
"465" "ENSG00000027644.4" 1
"466" "ENSG00000027697.14" 5
"467" "ENSG00000027847.13" 5
"468" "ENSG00000027869.11" 0
"469" "ENSG00000028116.17" 89
"470" "ENSG00000028137.18" 5
"471" "ENSG00000028203.17" 0
"472" "ENSG00000028277.21" 0
"473" "ENSG00000028310.17" 7
"474" "ENSG00000028528.14" 3
"475" "ENSG00000028839.9" 129
"476" "ENSG00000029153.14" 0
"477" "ENSG00000029363.16" 0
"478" "ENSG00000029364.11" 322
"479" "ENSG00000029534.20" 0
"480" "ENSG00000029559.6" 3
"481" "ENSG00000029639.10" 0
"482" "ENSG00000029725.16" 80
"483" "ENSG00000029993.14" 1
"484" "ENSG00000030066.13" 0
"485" "ENSG00000030110.12" 0
"486" "ENSG00000030304.13" 0
"487" "ENSG00000030419.16" 6
"488" "ENSG00000030582.17" 15
"489" "ENSG00000031003.10" 2
"490" "ENSG00000031081.10" 10
"491" "ENSG00000031691.6" 0
"492" "ENSG00000031698.12" 4
"493" "ENSG00000031823.14" 6
"494" "ENSG00000032219.18" 2
"495" "ENSG00000032389.12" 0
"496" "ENSG00000032444.16" 4
"497" "ENSG00000032742.17" 12
"498" "ENSG00000033011.12" 76
"499" "ENSG00000033030.13" 0
"500" "ENSG00000033050.8" 0
"501" "ENSG00000033100.16" 1
"502" "ENSG00000033122.18" 26
"503" "ENSG00000033170.16" 0
"504" "ENSG00000033178.12" 0
"505" "ENSG00000033327.12" 54
"506" "ENSG00000033627.16" 0
"507" "ENSG00000033800.13" 89
"508" "ENSG00000033867.16" 0
"509" "ENSG00000034053.14" 0
"510" "ENSG00000034152.18" 0
"511" "ENSG00000034239.10" 0
"512" "ENSG00000034510.5" 4
"513" "ENSG00000034533.11" 41
"514" "ENSG00000034677.12" 5
"515" "ENSG00000034693.14" 0
"516" "ENSG00000034713.7" 0
"517" "ENSG00000034971.16" 0
"518" "ENSG00000035115.21" 2
"519" "ENSG00000035141.7" 26
"520" "ENSG00000035403.17" 49
"521" "ENSG00000035499.12" 0
"522" "ENSG00000035664.11" 3
"523" "ENSG00000035681.8" 12
"524" "ENSG00000035687.9" 23
"525" "ENSG00000035720.7" 0
"526" "ENSG00000035862.12" 10
"527" "ENSG00000035928.15" 0
"528" "ENSG00000036054.12" 0
"529" "ENSG00000036257.12" 4
"530" "ENSG00000036448.9" 0
"531" "ENSG00000036473.7" 0
"532" "ENSG00000036530.8" 7
"533" "ENSG00000036549.12" 3
"534" "ENSG00000036565.14" 0
"535" "ENSG00000036672.15" 188
"536" "ENSG00000036828.16" 1
"537" "ENSG00000037042.8" 17
"538" "ENSG00000037241.7" 1
